Name,SAP_pos_CDRH1,SAP_pos_CDRH2,SAP_pos_CDRH3,SAP_pos_CDRL1,SAP_pos_CDRL2,SAP_pos_CDRL3,SAP_pos_CDR,SAP_pos_Hv,SAP_pos_Lv,SAP_pos_Fv,SCM_neg_CDRH1,SCM_neg_CDRH2,SCM_neg_CDRH3,SCM_neg_CDRL1,SCM_neg_CDRL2,SCM_neg_CDRL3,SCM_neg_CDR,SCM_neg_Hv,SCM_neg_Lv,SCM_neg_Fv,SCM_pos_CDRH1,SCM_pos_CDRH2,SCM_pos_CDRH3,SCM_pos_CDRL1,SCM_pos_CDRL2,SCM_pos_CDRL3,SCM_pos_CDR,SCM_pos_Hv,SCM_pos_Lv,SCM_pos_Fv
abituzumab,3.859764,4.3452725,8.718716,2.1485994,4.696163,6.7943354,30.680004,45.527824,36.425133,82.6564,26.55881,6.041334,32.170578,122.070076,5.670308,113.75878,317.85504,542.9095,520.8763,1062.8134,33.356182,50.21488,58.55171,37.3822,99.53086,19.15477,301.26556,877.35376,1176.2903,2044.6433
abrilumab,3.4171364,1.0799071,1.8286518,2.0874376,2.4022002,6.014892,17.925526,43.011524,31.231604,74.51299,182.04373,178.28133,119.25043,44.656002,37.799088,101.43154,672.61774,1143.6696,451.4782,1579.0414,3.4245927,-1.2816517,7.433341,36.73027,8.36039,19.30848,67.65992,919.621,941.50415,1849.1388
adalimumab,2.1347826,2.5242453,14.445071,1.9047399,3.5893512,3.172182,27.496794,58.41765,30.51765,89.328285,166.79822,62.519142,61.631935,18.17408,6.928168,106.42368,430.53708,817.64294,362.91452,1185.106,3.1831818,19.583357,29.513483,116.7695,41.75936,55.548267,263.83893,907.11304,1219.4445,2109.0886
alemtuzumab,2.2722704,3.6962554,5.040778,2.220291,2.7629595,3.3260946,20.664444,52.66343,32.287445,85.85814,47.9797,11.398539,21.22094,74.929474,13.728399,39.949097,222.46379,358.02472,373.38593,736.40173,31.126842,109.97425,113.78438,59.37457,59.34829,156.54602,539.4013,1461.2417,1302.7705,2748.4575
alirocumab,2.3352718,0.48520833,5.7497015,6.340402,2.478856,4.4732957,23.008087,52.346256,43.46067,95.65939,32.455204,10.001123,116.72283,42.26833,27.228563,108.37436,352.934,436.2465,505.4952,933.3957,87.39093,30.73007,22.045889,163.35585,64.857,19.051237,393.54633,1270.4652,966.6316,2228.1846
anifrolumab,9.2068405,1.4566277,6.46484,3.270666,0.746394,2.075943,23.751905,56.84846,33.32635,90.73597,27.047321,69.01291,156.92976,116.76342,19.939295,124.05774,531.8755,618.6352,548.3842,1169.503,51.861927,1.3843246,8.495342,14.561914,50.181366,15.44128,127.33184,863.01184,1012.91284,1858.896
atezolizumab,1.7542298,4.332884,8.61993,1.6204742,10.411429,9.990338,38.107727,57.118393,44.686867,101.70744,40.75285,10.9724865,-1.8967624,93.76713,18.8891,64.63564,233.32323,311.48648,435.04517,748.65686,28.055689,23.04339,156.52968,24.018536,37.727238,92.10605,365.4087,1228.4883,1136.4006,2343.4019
bapineuzumab,1.7723842,-0.03559246,6.9534516,4.8404284,4.041626,5.506665,25.005253,52.48927,51.3598,103.767,29.532707,-7.513388,47.645607,112.760574,22.122028,9.933353,208.96965,290.64423,335.5056,620.4164,57.498943,111.20141,92.68071,58.17668,65.24611,120.57161,518.6076,1328.171,1117.1249,2429.4294
basiliximab,2.8558857,1.4582648,10.044736,2.1155171,3.5198023,3.2793665,23.938581,46.556355,35.814716,82.24326,7.6716657,32.66078,77.59835,22.298351,11.917399,45.5761,198.50577,433.74655,277.65985,709.0157,114.54198,21.500153,52.286156,111.668945,84.91534,86.882385,469.83267,1139.5533,1275.6837,2418.8784
bavituximab,3.009459,6.4286785,14.831954,-0.08321797,2.1982179,3.207822,29.920746,48.25506,31.159431,79.750336,37.875484,65.17223,90.125,95.3929,29.909607,69.45828,403.5266,611.3916,562.00885,1173.6887,32.336384,3.789531,25.905895,50.79001,55.80483,26.74427,200.11789,948.19604,803.20514,1732.3156
belimumab,-0.15989955,10.50489,27.498007,3.7712967,0.977097,1.4655414,45.29931,64.136086,40.71751,104.01239,34.931496,44.446407,13.731568,45.202503,-5.165959,37.871784,170.77345,401.49432,544.1368,954.51746,30.838278,20.993872,178.70181,94.76052,120.36645,136.85025,578.46765,1289.8428,942.4468,2193.4255
benralizumab,2.5906045,2.3560705,19.23722,6.748733,2.1932957,9.078664,43.275818,56.66669,40.671177,97.9971,27.181587,32.24682,57.693577,188.74884,4.141281,103.988884,422.98264,380.22525,615.34845,986.74347,62.18174,36.975994,67.832664,30.017462,135.51251,37.61049,376.33392,1334.4523,1231.4702,2540.255
bevacizumab,2.685384,3.934994,17.874346,1.6407409,4.095831,6.321479,36.892475,67.443375,36.898003,103.843185,27.018436,31.16058,60.794807,158.23286,17.307932,111.14432,422.23715,434.4679,616.9487,1039.1732,61.35371,3.647815,113.5832,21.93243,66.94338,33.44715,290.61642,1138.4579,1149.5781,2266.809
bimagrumab,1.0987959,3.7121265,5.3991175,5.94845,1.6368235,11.128818,28.986582,44.5729,42.831394,87.18924,14.875556,1.0541033,25.237247,42.585224,-4.816369,64.846695,142.74017,303.1901,309.39865,609.2717,71.55641,61.4761,24.81366,78.9165,162.18205,43.287186,442.2178,1278.5552,1229.8877,2480.341
blosozumab,5.9907355,4.675309,3.8923416,1.3842386,3.3657925,6.4246774,26.59632,40.986446,36.37849,77.002464,172.15906,202.69331,142.86932,109.28055,13.089993,171.4494,823.49615,1230.8247,560.4935,1782.1758,4.175564,-2.206524,27.843653,53.440914,92.06326,3.63314,166.11678,855.1718,1149.6956,1991.2014
bococizumab,3.3034396,5.28435,15.257463,1.3962647,6.1968694,9.343583,40.96131,49.670567,39.808735,89.57299,15.237936,3.3743691,22.895174,45.38053,4.511661,52.38115,150.82701,328.8949,307.79175,636.04974,71.401344,101.38312,131.32825,41.2649,88.0579,84.955505,524.85565,1402.8533,1290.175,2667.962
brentuximab,2.8137116,1.5948998,10.09314,3.9755008,3.0953486,2.3915017,25.13945,44.052246,44.38112,89.16017,64.75899,14.19396,67.25041,242.77127,43.797626,176.614,609.25116,492.17484,772.7077,1264.1083,0.15665898,26.0224,18.29604,7.116989,43.723648,15.823168,104.631874,945.7698,1087.9197,2020.4644
briakinumab,2.7680154,2.437338,0.38188195,0.8748241,2.4016132,10.203852,19.331717,37.24924,49.12876,86.75689,26.793692,6.409198,0.53211445,-3.7254143,21.79998,30.987717,81.76073,183.85866,276.63187,471.95248,41.094265,40.145046,33.604366,187.1444,64.4531,122.94223,493.92175,1289.5393,1176.8132,2446.4827
brodalumab,2.8163946,3.1020987,10.113444,0.9562642,0.4846802,5.7118363,22.28397,46.7618,35.774307,83.189644,3.5639274,10.693947,17.23874,136.7485,31.481178,136.69489,342.2486,304.33728,552.6476,852.1553,106.24789,38.589024,86.23755,3.6654215,61.68874,28.621721,313.56805,1387.3434,1111.5422,2474.1997
canakinumab,6.4012046,4.2962456,7.689193,0.5441948,5.101538,8.1978035,32.519947,57.493893,37.99156,96.99455,37.36488,119.09979,23.679567,35.015263,-2.2840648,77.91333,300.20898,537.12665,396.61063,948.2866,48.411926,-2.113236,82.16619,67.26918,113.11619,38.776356,354.74683,1069.8861,1021.8877,2058.2407
carlumab,1.4358138,14.817068,14.719265,3.5583045,0.9277199,10.836823,47.01814,63.314777,47.06276,110.84803,62.12127,56.292324,186.05771,148.51352,41.639412,82.30294,585.71497,721.062,598.03564,1316.6544,22.61383,9.092048,7.9377737,-1.0697259,51.312828,53.305836,137.81975,1003.01294,987.7778,1968.1755
certolizumab,6.7046795,11.450361,5.186324,0.35881573,10.598288,10.866004,47.58428,67.70589,49.709995,118.63178,69.49144,58.221214,16.086226,45.332016,12.951659,88.06193,306.23782,475.02844,401.10056,878.4552,28.274923,4.484014,62.743256,38.72254,39.594406,28.225399,199.69992,1025.7427,1084.651,2095.8809
cetuximab,2.8094246,1.7460959,20.808647,0.6179707,3.460975,5.0317817,34.877113,63.38225,44.27419,109.14018,14.201936,18.34839,96.313,67.60198,60.7025,118.451904,373.8946,414.1727,574.8417,984.5809,71.39998,29.845194,41.844185,37.094913,39.442978,22.183475,246.88051,1165.5977,830.0642,1963.7849
cixutumumab,1.5753652,13.680407,29.494074,3.710467,1.3361892,0.9524102,50.96471,69.72446,40.361496,111.01136,9.375937,13.979715,160.22484,70.30416,5.54876,29.160463,303.7146,428.5024,523.4219,950.56226,77.23668,58.025574,87.989685,41.751167,92.23501,99.5351,459.62262,1253.4408,903.24066,2130.5308
clazakizumab,2.432079,1.3335291,7.0317264,0.7086897,4.345023,10.923923,27.425306,53.17269,41.007435,93.71135,38.33528,87.6599,221.30577,93.72038,32.84832,137.98558,642.4014,755.13074,550.89154,1309.1826,39.92505,4.4610157,36.972736,22.446377,49.00111,45.04275,192.9481,1056.4202,1061.4991,2102.6406
codrituzumab,2.245894,0.4667018,10.407522,4.3825345,2.586952,6.366918,28.857788,50.017498,52.761303,102.84567,79.48335,91.75087,23.297276,5.2090144,-6.9573603,20.356379,191.92664,523.1018,154.02113,682.8299,53.313957,14.686535,67.45811,270.83954,139.03003,103.079506,650.14636,965.55133,1508.3933,2454.424
crenezumab,2.554998,0.50034094,3.8648868,7.901007,2.558835,6.798605,26.590117,42.717747,56.969574,99.60077,47.721596,11.733392,24.450037,75.22491,4.510386,54.345993,227.00926,411.32404,353.18808,762.39087,16.628164,13.774179,3.08977,61.923237,86.47136,60.20377,242.07782,964.9091,1064.8315,2013.0243
dacetuzumab,3.07946,4.0250916,6.453361,4.380717,3.2603679,6.7546067,29.023037,55.68476,37.937923,94.03344,22.635057,11.309989,7.405151,21.971655,1.738972,47.277706,105.07717,260.5502,242.08664,504.01193,51.379326,34.995174,100.16101,145.8974,92.13053,101.50178,534.96027,1309.4822,1410.4824,2687.7314
daclizumab,2.9268346,4.147552,5.0898223,2.6894822,3.8864906,5.7320385,25.899038,45.398865,38.86112,84.00675,38.211235,45.19451,21.487022,28.925549,10.160938,63.316208,201.43787,490.38535,337.40796,829.32764,54.490524,18.454294,78.63925,53.990723,42.438515,87.14189,333.25885,1059.9954,1118.8533,2161.6914
dalotuzumab,5.5165796,2.3289616,7.43219,4.375772,5.498215,5.838552,33.400887,54.55716,54.759674,109.34232,22.076323,27.037949,26.890383,17.47375,0.3895817,30.807528,122.28625,267.93823,234.30411,515.46234,72.34595,23.885832,107.38673,191.12755,123.59269,97.62122,621.8102,1289.4056,1318.0426,2596.2085
daratumumab,3.1396687,0.30068734,26.260992,1.8631834,0.18800487,6.295348,38.342857,73.46613,38.451824,111.44732,41.605946,8.537523,116.76778,80.42086,29.272282,86.557045,374.74704,478.63773,471.962,945.64594,27.552309,11.260826,56.28306,13.800633,66.96467,50.259026,225.26997,993.9151,1097.4564,2073.5005
denosumab,2.489054,0.11188486,15.967413,2.553848,0.5648216,1.8484547,23.765202,61.60303,33.180843,95.3163,31.30465,11.216454,64.524605,19.489391,6.1307917,37.96306,166.9324,375.52972,281.16403,648.2983,42.20831,10.151653,77.493065,142.8841,81.866486,61.183517,415.9604,1010.62885,1221.235,2209.069
dinutuximab,2.4746768,8.838997,4.5049915,4.252473,1.576523,9.326306,32.31002,44.645954,46.84368,91.219795,43.374207,36.464565,47.07568,14.377572,5.207591,12.299721,122.78835,457.0513,161.3929,621.4198,18.895184,22.53954,16.207964,292.16583,182.89381,136.52104,672.21484,1004.66235,1775.6243,2770.436
drozitumab,3.252985,2.460407,13.243097,4.1184683,1.5958459,1.3447537,26.86629,47.994072,43.726128,91.398605,152.13417,50.49308,44.49738,55.684723,8.203088,55.96679,375.05246,592.9323,557.45154,1144.6271,-0.73494375,12.884333,56.865044,69.706635,79.672035,62.45586,280.6708,1024.6449,897.22235,1897.6863
duligotuzumab,1.6837862,6.3033805,8.972907,0.96131843,10.465962,3.7546065,34.21793,56.72092,38.001152,95.311264,38.47712,40.148335,177.04124,148.74625,36.14524,253.97519,709.93744,711.8158,757.03235,1469.9088,28.81528,9.407479,23.841438,18.42682,21.657808,-6.3866,85.875015,909.9569,974.4736,1868.916
